run,checkpoint_role,checkpoint,agent_steps,training_iteration,archived_task_mean_reward,fresh_task_mean_reward,factor,layer,probe_r_squared,probe_normalized_mse,null_contrast_r_squared,current_observation_r_squared,next_token_probability_r_squared,log_next_token_probability_r_squared,probe_minus_log_ntp_r_squared,probe_minus_log_ntp_ci_low,probe_minus_log_ntp_ci_high,permuted_label_null_r_squared_mean,gaussian_feature_null_r_squared_mean,matched_feature_null_r_squared_mean,activation_participation_ratio,activation_cev90_dimension
token_guess,init,initial_checkpoint,0,0,0.5816,0.5816,strata,layer_1,0.4966251011684053,0.5033748988315947,0.22574228107537797,0.316544770570539,0.5743377915458052,0.9531769938325724,-0.4565518926641671,-0.4841111991203253,-0.4291853820716844,-0.001871515736502305,-0.004199894344899979,0.31631636603472857,1.742284379137324,2
token_guess,init,initial_checkpoint,0,0,0.5816,0.5816,strata,layer_2,0.6750452833689587,0.32495471663104125,0.47622467975401195,0.316544770570539,0.5743377915458052,0.9531769938325724,-0.2781317104636137,-0.2956686956928191,-0.26039020195397555,-0.0031728501998333327,-0.004569254215556295,0.3161235422008138,2.232072594894359,2
token_guess,init,initial_checkpoint,0,0,0.5816,0.5816,strata,layer_3,0.7064067055556138,0.2935932944443862,0.5042310104501531,0.316544770570539,0.5743377915458052,0.9531769938325724,-0.24677028827695863,-0.26072402633592096,-0.2322688799357683,-0.00277068742440032,-0.004816984090999421,0.3160198723584094,2.3392659360744155,2
token_guess,penultimate,iteration_000256_steps_002138080,2138080,256,0.76275,0.76275,strata,layer_1,0.8951771631447126,0.10482283685528736,0.8071504532629374,0.316544770570539,0.5743377915458052,0.9531769938325724,-0.05799983068785976,-0.0660535947905922,-0.050753012327979664,-0.00021659434211833694,-0.004157785375701728,0.31625466414679354,1.2911862906613114,2
token_guess,penultimate,iteration_000256_steps_002138080,2138080,256,0.76275,0.76275,strata,layer_2,0.9710073164165525,0.028992683583447493,0.9510392139911735,0.316544770570539,0.5743377915458052,0.9531769938325724,0.017830322583980096,0.014704190635559453,0.020870781090234002,0.0015735523673421792,-0.004432029373283575,0.3155375100639522,1.6969053618705092,2
token_guess,penultimate,iteration_000256_steps_002138080,2138080,256,0.76275,0.76275,strata,layer_3,0.975742650942945,0.024257349057054976,0.9591340399862979,0.316544770570539,0.5743377915458052,0.9531769938325724,0.022565657110372613,0.019946398598205836,0.025139259848980657,0.0002819091171831989,-0.004432005649087944,0.31500383657847786,1.2374896970340696,2
token_guess,final,checkpoint_000000,2505403,300,0.75925,0.75925,strata,layer_1,0.8940428591182221,0.10595714088177782,0.8065444379152797,0.316544770570539,0.5743377915458052,0.9531769938325724,-0.05913413471435023,-0.06645953013538522,-0.05243614904622368,-0.001760932086232181,-0.004144311336369455,0.3152839127069065,1.0927713091828706,1
token_guess,final,checkpoint_000000,2505403,300,0.75925,0.75925,strata,layer_2,0.973925005293774,0.026074994706225953,0.9565006211556855,0.316544770570539,0.5743377915458052,0.9531769938325724,0.020748011461201636,0.017632989929853963,0.023092551761944243,0.0016967765268332657,-0.004390283379026716,0.3150924585246967,1.3867684685740613,2
token_guess,final,checkpoint_000000,2505403,300,0.75925,0.75925,strata,layer_3,0.979720088521279,0.02027991147872096,0.9685457157759016,0.316544770570539,0.5743377915458052,0.9531769938325724,0.026543094688706626,0.02510031511712777,0.02820084725749069,0.00027990728725308945,-0.0044154871880179416,0.314188707499834,1.1706049585063316,1
reward_both,init,initial_checkpoint,0,0,0.3351,0.3351,factor_1,layer_1,0.2710668023426295,0.7289331976573705,0.2598075227209631,0.0014098652970166992,0.5005250213830517,0.5685007184710511,-0.2974339161284216,-0.30318871894606314,-0.291681520240925,-0.0016228108720263811,-0.0022967485566324,0.2705682998537048,6.225343329296654,6
reward_both,init,initial_checkpoint,0,0,0.3351,0.3351,factor_1,layer_2,0.26872675925360545,0.7312732407463945,0.25746132997328564,0.0014098652970166992,0.5005250213830517,0.5685007184710511,-0.29977395921744565,-0.3047524286475032,-0.2950858015567582,-0.001356269952533462,-0.0029048918027053004,0.2694751914063409,6.032563944695423,7
reward_both,init,initial_checkpoint,0,0,0.3351,0.3351,factor_1,layer_3,0.26551525296468415,0.7344847470353159,0.25165144097163095,0.0014098652970166992,0.5005250213830517,0.5685007184710511,-0.302985465506367,-0.3080301036799512,-0.2981982402563067,-0.002434086022453896,-0.0030545296313947644,0.265161386215528,6.161175981819447,7
reward_both,init,initial_checkpoint,0,0,0.3351,0.3351,factor_2,layer_1,0.2712494242194775,0.7287505757805225,0.2786636981079521,5.30858029617054e-05,0.4980385080463605,0.5688623872984104,-0.2976129630789329,-0.30065063616467297,-0.2941311129976625,-0.0026943748531381706,-0.0019716490100846864,0.2711394462010668,6.225343329296654,6
reward_both,init,initial_checkpoint,0,0,0.3351,0.3351,factor_2,layer_2,0.2637770052201488,0.7362229947798512,0.2703763760673482,5.30858029617054e-05,0.4980385080463605,0.5688623872984104,-0.30508538207826175,-0.30876867782689954,-0.30072630899654496,-0.0037635676984044244,-0.0024075682287123534,0.2635161907524442,6.032563944695423,7
