baseline,r_squared,mse,ntp_null_r_squared,outside_simplex_fraction,max_sum_error
train_mean,-0.004227051923360703,0.09595638360300797,-0.014279555894116003,0.0,2.531308496145357e-14
ntp,0.7896745317099141,0.020097119748040806,0.0306148358740318,0.4804,1.176836406102666e-14
log_ntp,0.8964769272374489,0.009891886165324656,0.5252499535754225,0.23635,2.4424906541753444e-14
current_token,0.2589808965411906,0.07080621181481286,-0.012879849550041733,0.0,4.39648317751562e-14
policy_probabilities,0.02569284068003974,0.09309746371381163,0.019318909105124127,0.0122,4.547473508864641e-11
centered_log_policy,0.19842169682026622,0.07659279343296636,0.0976119942741136,0.0444,1.887379141862766e-14
suffix_0,-0.004227051923364478,0.09595638360300832,-0.014279555894123774,0.0,1.021405182655144e-14
suffix_1,0.2589808965411933,0.07080621181481261,-0.012879849550042843,0.0,2.90878432451791e-14
suffix_2,0.482823525881766,0.04941749382860451,0.05423444819857326,0.0,1.6431300764452317e-14
suffix_4,0.7572423742848094,0.02319609276713648,0.2919166138926582,0.0,1.84297022087776e-14
suffix_8,0.9058742009975322,0.008993953368137023,0.609932906694823,0.0,1.9984014443252818e-14
suffix_16,0.9638484547229205,0.003454369746169412,0.8461182451660852,0.0,3.552713678800501e-14
suffix_32,0.9944058451274187,0.0005345353621573334,0.9762006130568727,0.0,1.6431300764452317e-14
