run,seed,agent_steps,iteration,phase,n_fit,n_test,source,target,cev90_dimension,cev95_dimension,cev99_dimension,participation_ratio,rank,cev_first_8
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,layer_1,2,2,3,1.5228025982154654,64,"[0.7879888179886068, 0.97634011813847, 0.9918266407102788, 0.998169929280036, 0.9992065411937064, 0.9996143707789575, 0.999746715238303, 0.999856023011033]"
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,layer_2,2,2,5,2.0717926032588094,64,"[0.5980866586129375, 0.9505570198824316, 0.9709409510441831, 0.986750304846941, 0.9944558398732313, 0.9963793231378902, 0.9974121407033555, 0.9982335455215124]"
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,layer_3,2,3,5,2.2394619356487864,64,"[0.5639199955806447, 0.919782145484331, 0.9506962156652048, 0.9783520801180702, 0.9908907628215744, 0.9938467221528805, 0.995461483398878, 0.9966785167188279]"
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,actor_activation,2,3,5,2.2394619356487864,64,"[0.5639199955806447, 0.919782145484331, 0.9506962156652048, 0.9783520801180702, 0.9908907628215744, 0.9938467221528805, 0.995461483398878, 0.9966785167188279]"
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,state_belief_target,2,2,2,1.4799745063000376,2,"[0.7963843068629277, 0.9999999999999999, 1.0]"
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,strata_belief_target,2,2,2,1.4799745063000376,2,"[0.7963843068629277, 0.9999999999999999, 1.0]"
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,layer_1,2,2,3,1.5452166190635463,64,"[0.7790884819197048, 0.9789879441680882, 0.992449509985323, 0.9986155040315668, 0.999209120311167, 0.9996216013516747, 0.9998004010599045, 0.999884371650038]"
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,layer_2,2,2,4,1.9197726896892413,64,"[0.6482810694502404, 0.964851286682094, 0.9816725583909665, 0.9908731443297252, 0.9972688188960199, 0.9981983320489829, 0.9987675091373435, 0.9991442532639715]"
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,layer_3,2,2,4,2.0050908088319512,64,"[0.6218037539115653, 0.9555710942196105, 0.9780042806376577, 0.9901935412050323, 0.9961192996652822, 0.9975088320944729, 0.9983381399357131, 0.9988166326832478]"
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,actor_activation,2,2,4,2.0050908088319512,64,"[0.6218037539115653, 0.9555710942196105, 0.9780042806376577, 0.9901935412050323, 0.9961192996652822, 0.9975088320944729, 0.9983381399357131, 0.9988166326832478]"
