run,phase,layer,factor,mse,target_variance,global_r2,null_mse,null_global_r2,probe_type
token_cycle_1_context,initial,layer_3,strata,0.0967171313273907,0.09555247831576143,-0.012188621709847913,0.06345373796234027,-0.020230974391673096,shuffled_training_labels
token_cycle_1_context,initial,control,strata,0.07080621181481284,0.09555247831576143,0.25898089654119083,0.06299653134821333,-0.012879849550045952,current_visible_token
token_cycle_1_context,initial,control,strata,0.09595638360300797,0.09555247831576143,-0.004227051923360925,0.06308358673254315,-0.014279555894116225,train_mean
token_cycle_1_context,final,layer_3,strata,0.09552974759445244,0.09555247831576143,0.00023788730245033474,0.06313491709789988,-0.015104863123374557,shuffled_training_labels
token_cycle_1_context,final,control,strata,0.07080621181481284,0.09555247831576143,0.25898089654119083,0.06299653134821333,-0.012879849550045952,current_visible_token
token_cycle_1_context,final,control,strata,0.09595638360300797,0.09555247831576143,-0.004227051923360925,0.06308358673254315,-0.014279555894116225,train_mean
token_cycle_2,initial,layer_3,strata,0.1563825931805195,0.15499401324917533,-0.008958926233568976,0.19841212050029208,-0.01104269469549446,shuffled_training_labels
token_cycle_2,initial,control,strata,0.1058836277544457,0.15499401324917533,0.31685343495027496,0.19772831038453073,-0.00755822398697048,current_visible_token
token_cycle_2,initial,control,strata,0.15557137319727063,0.15499401324917533,-0.0037250467678846544,0.19775971898829406,-0.007718271867641402,train_mean
token_cycle_2,final,layer_3,strata,0.15575656877445065,0.15499401324917533,-0.004919903093607791,0.1972685785395473,-0.0052155822057256,shuffled_training_labels
token_cycle_2,final,control,strata,0.1058836277544457,0.15499401324917533,0.31685343495027496,0.19772831038453073,-0.00755822398697048,current_visible_token
token_cycle_2,final,control,strata,0.15557137319727063,0.15499401324917533,-0.0037250467678846544,0.19775971898829406,-0.007718271867641402,train_mean
explore_cycle_3_both,initial,layer_3,factor_1,0.17949018149268448,0.1782648981297332,-0.006873385483100458,0.27104379073914087,-0.010718465336793992,shuffled_training_labels
explore_cycle_3_both,initial,layer_3,factor_2,0.18225119303124948,0.17981306599866392,-0.013559231744614486,0.27171768899499454,-0.009940917025636153,shuffled_training_labels
explore_cycle_3_both,initial,control,factor_1,0.1284142892218239,0.1782648981297332,0.2796434375523007,0.19714797453331834,0.26483798901578026,current_token_preceding_action
explore_cycle_3_both,initial,control,factor_2,0.12907432039006364,0.17981306599866392,0.28217496502160355,0.1897236629104166,0.29482069860847915,current_token_preceding_action
explore_cycle_3_both,initial,control,factor_1,0.07709750051298789,0.1782648981297332,0.5675116003102316,0.22477055301852025,0.16183378420048522,log_ntp
explore_cycle_3_both,initial,control,factor_2,0.07713803962064275,0.17981306599866392,0.5710098196022312,0.22500003598474905,0.1637027993513347,log_ntp
explore_cycle_3_both,initial,control,factor_1,0.08939253267559351,0.1782648981297332,0.4985410273505576,0.26817759802678054,-3.0473216788395874e-05,ntp
explore_cycle_3_both,initial,control,factor_2,0.08967085666240089,0.17981306599866392,0.501310674147188,0.26901256998720274,0.0001136744935897882,ntp
explore_cycle_3_both,initial,control,factor_1,0.17826764664666786,0.1782648981297332,-1.5418161194435953e-05,0.2681771949779592,-2.8970253429516646e-05,train_mean
