run,seed,agent_steps,iteration,phase,n_fit,n_test,source,split,json_pointer,value
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,policy,/policy/guess_fractions/0,0.2323
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,policy,/policy/guess_fractions/1,0.7677
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,policy,/policy/hidden_token_fractions/0,0.3067
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,policy,/policy/hidden_token_fractions/1,0.6933
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,policy,/policy/mean_reward,0.6086
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,policy,/policy/mode,learned_stochastic
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,policy,/policy/token_accuracy,0.6086
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,train_policy,/train_policy/guess_fractions/0,0.2287
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,train_policy,/train_policy/guess_fractions/1,0.7713
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,train_policy,/train_policy/hidden_token_fractions/0,0.3114
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,train_policy,/train_policy/hidden_token_fractions/1,0.6886
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,train_policy,/train_policy/mean_reward,0.6076
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,train_policy,/train_policy/mode,learned_stochastic
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,train_policy,/train_policy/token_accuracy,0.6076
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,policy,/policy/guess_fractions/0,0.1538
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,policy,/policy/guess_fractions/1,0.8462
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,policy,/policy/hidden_token_fractions/0,0.3067
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,policy,/policy/hidden_token_fractions/1,0.6933
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,policy,/policy/mean_reward,0.6598
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,policy,/policy/mode,learned_stochastic
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,policy,/policy/token_accuracy,0.6598
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,train_policy,/train_policy/guess_fractions/0,0.1547
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,train_policy,/train_policy/guess_fractions/1,0.8453
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,train_policy,/train_policy/hidden_token_fractions/0,0.3114
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,train_policy,/train_policy/hidden_token_fractions/1,0.6886
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,train_policy,/train_policy/mean_reward,0.6526
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,train_policy,/train_policy/mode,learned_stochastic
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,train_policy,/train_policy/token_accuracy,0.6526
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,policy,/policy/guess_fractions/0,0.12415
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,policy,/policy/guess_fractions/1,0.87585
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,policy,/policy/hidden_token_fractions/0,0.3067
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,policy,/policy/hidden_token_fractions/1,0.6933
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,policy,/policy/mean_reward,0.67405
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,policy,/policy/mode,learned_stochastic
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,policy,/policy/token_accuracy,0.67405
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,train_policy,/train_policy/guess_fractions/0,0.1229
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,train_policy,/train_policy/guess_fractions/1,0.8771
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,train_policy,/train_policy/hidden_token_fractions/0,0.3114
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,train_policy,/train_policy/hidden_token_fractions/1,0.6886
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,train_policy,/train_policy/mean_reward,0.6669
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,train_policy,/train_policy/mode,learned_stochastic
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,train_policy,/train_policy/token_accuracy,0.6669
token_cycle_1_context,42,132080,4,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000132080/probe_battery.json,policy,/policy/guess_fractions/0,0.0954
token_cycle_1_context,42,132080,4,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000132080/probe_battery.json,policy,/policy/guess_fractions/1,0.9046
token_cycle_1_context,42,132080,4,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000132080/probe_battery.json,policy,/policy/hidden_token_fractions/0,0.3067
token_cycle_1_context,42,132080,4,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000132080/probe_battery.json,policy,/policy/hidden_token_fractions/1,0.6933
token_cycle_1_context,42,132080,4,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000132080/probe_battery.json,policy,/policy/mean_reward,0.6837
