run,seed,agent_steps,iteration,phase,n_fit,n_test,source,success_percent,train_probe_success_percent
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,60.86,60.760000000000005
token_cycle_1_context,42,33074,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000033074/probe_battery.json,65.98,65.25999999999999
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,67.405,66.69
token_cycle_1_context,42,132080,4,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000132080/probe_battery.json,68.37,67.61
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,69.015,68.64
token_cycle_1_context,42,529112,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000529112/probe_battery.json,69.45,68.875
token_cycle_1_context,42,1058450,32,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_001058450/probe_battery.json,69.60499999999999,68.87
token_cycle_1_context,42,2116834,64,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002116834/probe_battery.json,69.525,68.78
token_cycle_1_context,42,2513610,76,final,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002513610/probe_battery.json,69.49,68.8
token_cycle_2,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_2/ppo/results/20260909T083950Z-45ea794b/checkpoint_probes/steps_000000000/probe_battery.json,58.660000000000004,58.91499999999999
token_cycle_2,42,33112,1,intermediate,20000,20000,experiments/strata_token_guess_cycle_2/ppo/results/20260909T083950Z-45ea794b/checkpoint_probes/steps_000033112/probe_battery.json,65.865,66.175
token_cycle_2,42,66254,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_2/ppo/results/20260909T083950Z-45ea794b/checkpoint_probes/steps_000066254/probe_battery.json,68.655,68.985
token_cycle_2,42,132518,4,intermediate,20000,20000,experiments/strata_token_guess_cycle_2/ppo/results/20260909T083950Z-45ea794b/checkpoint_probes/steps_000132518/probe_battery.json,73.83,73.72999999999999
token_cycle_2,42,265026,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_2/ppo/results/20260909T083950Z-45ea794b/checkpoint_probes/steps_000265026/probe_battery.json,77.7,77.315
token_cycle_2,42,529886,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_2/ppo/results/20260909T083950Z-45ea794b/checkpoint_probes/steps_000529886/probe_battery.json,78.78,78.225
token_cycle_2,42,1059875,32,intermediate,20000,20000,experiments/strata_token_guess_cycle_2/ppo/results/20260909T083950Z-45ea794b/checkpoint_probes/steps_001059875/probe_battery.json,78.805,78.245
token_cycle_2,42,2119586,64,intermediate,20000,20000,experiments/strata_token_guess_cycle_2/ppo/results/20260909T083950Z-45ea794b/checkpoint_probes/steps_002119586/probe_battery.json,75.67,75.58500000000001
token_cycle_2,42,2516889,76,final,20000,20000,experiments/strata_token_guess_cycle_2/ppo/results/20260909T083950Z-45ea794b/checkpoint_probes/steps_002516889/probe_battery.json,67.155,67.425
explore_cycle_3_both,42,0,0,initial,20000,20000,experiments/strata_two_factor_explore_cycle_3/reward_both_state_0/results/20260909T084200Z-e5f5f91b/checkpoint_probes/steps_000000000/probe_battery.json,33.48,33.155
