condition,candidate,selected,eligible,parameters,selection_score,selection_next_observation_kl,test_next_observation_kl,selection_affine_residual_ratio_per_factor,selection_min_permutation_mse_per_factor,max_mean_kl_nats,selection_scope
token_guess,alternative_1,False,False,"{""alpha"":0.82,""strength"":null,""x"":0.4}",0.11778497295729798,0.023932854557020294,,"[0.11778497295729798,0.11970236907528384]","[0.018895528940435367,0.019594967595623052]",0.02,training_episodes_only; no activations or test histories used
token_guess,alternative_2,True,True,"{""alpha"":0.8799999999999999,""strength"":null,""x"":0.4}",0.04473965195759246,0.00877892282092242,0.009052133702600797,"[0.04473965195759246,0.04560702153826061]","[0.007620742022161531,0.007956628035621928]",0.02,training_episodes_only; no activations or test histories used
token_guess,alternative_3,False,True,"{""alpha"":0.9149999999999999,""strength"":null,""x"":0.4}",0.010767921765306854,0.0020284555118773194,,"[0.010767921765306854,0.010898932054034692]","[0.0019046528684341342,0.0019858083351161977]",0.02,training_episodes_only; no activations or test histories used
token_guess,alternative_4,False,True,"{""alpha"":0.96,""strength"":null,""x"":0.4}",0.012115641577715493,0.002192421507952673,,"[0.012298524651451473,0.012115641577715493]","[0.0023161689821135254,0.0023846021354788317]",0.02,training_episodes_only; no activations or test histories used
token_guess,alternative_5,False,True,"{""alpha"":0.94,""strength"":null,""x"":0.22000000000000003}",0.036444805265964615,0.019719374429972188,,"[0.036444805265964615,0.037451616630786666]","[0.004511284748573121,0.004587907656653757]",0.02,training_episodes_only; no activations or test histories used
token_guess,alternative_6,False,False,"{""alpha"":0.94,""strength"":null,""x"":0.32}",0.007086728309026992,0.003252925403274438,,"[0.007086728309026992,0.007190733317120674]","[0.0007919502782011219,0.0008050490326224984]",0.02,training_episodes_only; no activations or test histories used
token_guess,alternative_7,False,False,"{""alpha"":0.94,""strength"":null,""x"":0.48000000000000004}",0.006788870032312972,0.002724469199803008,,"[0.0069255732704974204,0.006788870032312972]","[0.0007157052416332608,0.000705533907675926]",0.02,training_episodes_only; no activations or test histories used
token_guess,alternative_8,False,True,"{""alpha"":0.94,""strength"":null,""x"":0.5800000000000001}",0.03374101646929909,0.01289567344765516,,"[0.034648710640683394,0.03374101646929909]","[0.0035197978130400618,0.003437941520430124]",0.02,training_episodes_only; no activations or test histories used
token_guess,alternative_9,False,True,"{""alpha"":0.8799999999999999,""strength"":null,""x"":0.28}",0.024964138959620765,0.018589128768494174,,"[0.024964138959620765,0.02633709266491951]","[0.007912141142075948,0.008333313914812684]",0.02,training_episodes_only; no activations or test histories used
token_guess,alternative_10,True,True,"{""alpha"":0.8799999999999999,""strength"":null,""x"":0.52}",0.08587392443043276,0.010378335728968293,0.010560779785766269,"[0.08587392443043276,0.08617950980317375]","[0.010197283390127591,0.010436803957409695]",0.02,training_episodes_only; no activations or test histories used
