condition,factor,factor_role,layer,is_last_layer,evaluation,probe_mse,probe_r_squared
token_guess,factor_1,guessed,layer_1,False,original_unshuffled,0.008163991142445332,0.8635454701336678
token_guess,factor_1,guessed,layer_1,False,frozen_original_probe,0.009258089232694494,0.8153729992107874
token_guess,factor_1,guessed,layer_1,False,refitted_on_shuffled_histories,0.006395880381858715,0.8724518437196506
token_guess,factor_1,guessed,layer_2,False,original_unshuffled,0.007525662195100896,0.8742146238466232
token_guess,factor_1,guessed,layer_2,False,frozen_original_probe,0.00808630240766888,0.8387410486679894
token_guess,factor_1,guessed,layer_2,False,refitted_on_shuffled_histories,0.005881423753845114,0.8827112592295872
token_guess,factor_1,guessed,layer_3,True,original_unshuffled,0.007799276715561716,0.8696413777341954
token_guess,factor_1,guessed,layer_3,True,frozen_original_probe,0.008275402202735501,0.834969975919013
token_guess,factor_1,guessed,layer_3,True,refitted_on_shuffled_histories,0.0056892612156186845,0.8865434099255967
token_guess,factor_2,guessed,layer_1,False,original_unshuffled,0.008677767496439273,0.8552227474596027
token_guess,factor_2,guessed,layer_1,False,frozen_original_probe,0.009413332485249134,0.8093578816110756
token_guess,factor_2,guessed,layer_1,False,refitted_on_shuffled_histories,0.006526822067637253,0.8678165052310893
token_guess,factor_2,guessed,layer_2,False,original_unshuffled,0.00800450056534839,0.8664553296357949
token_guess,factor_2,guessed,layer_2,False,frozen_original_probe,0.00859238581771436,0.8259839820944492
token_guess,factor_2,guessed,layer_2,False,refitted_on_shuffled_histories,0.006031733321953735,0.8778432165382193
token_guess,factor_2,guessed,layer_3,True,original_unshuffled,0.008083706270594099,0.8651338855667179
token_guess,factor_2,guessed,layer_3,True,frozen_original_probe,0.008478619755572176,0.8282880123750687
token_guess,factor_2,guessed,layer_3,True,refitted_on_shuffled_histories,0.005975899833627678,0.8789739759699299
reward_both,factor_1,rewarded,layer_1,False,original_unshuffled,0.015592540198170494,0.703678098310845
reward_both,factor_1,rewarded,layer_1,False,frozen_original_probe,0.09201256727776057,-0.19793998301119387
reward_both,factor_1,rewarded,layer_1,False,refitted_on_shuffled_histories,0.05679201476185957,0.2606072495116958
reward_both,factor_1,rewarded,layer_2,False,original_unshuffled,0.01677536234505721,0.6811996500611721
reward_both,factor_1,rewarded,layer_2,False,frozen_original_probe,0.09338141980278357,-0.21576149608365025
reward_both,factor_1,rewarded,layer_2,False,refitted_on_shuffled_histories,0.05876037929011348,0.23498050482563315
reward_both,factor_1,rewarded,layer_3,True,original_unshuffled,0.01765306816507988,0.6645196572949342
reward_both,factor_1,rewarded,layer_3,True,frozen_original_probe,0.09039448839564117,-0.17687371515339678
reward_both,factor_1,rewarded,layer_3,True,refitted_on_shuffled_histories,0.060279833175825595,0.21519826620445082
reward_both,factor_2,rewarded,layer_1,False,original_unshuffled,0.006147724279745147,0.8420030200939332
reward_both,factor_2,rewarded,layer_1,False,frozen_original_probe,0.08179424613297819,-0.2738817145132004
reward_both,factor_2,rewarded,layer_1,False,refitted_on_shuffled_histories,0.04260274122061078,0.33649546765377325
reward_both,factor_2,rewarded,layer_2,False,original_unshuffled,0.0064570459156628865,0.8340534306083369
reward_both,factor_2,rewarded,layer_2,False,frozen_original_probe,0.08070484638773444,-0.2569151614746754
reward_both,factor_2,rewarded,layer_2,False,refitted_on_shuffled_histories,0.04449294792628669,0.3070569695582458
reward_both,factor_2,rewarded,layer_3,True,original_unshuffled,0.006232537103674965,0.8398233240912407
reward_both,factor_2,rewarded,layer_3,True,frozen_original_probe,0.07717428145729656,-0.20192936089067737
reward_both,factor_2,rewarded,layer_3,True,refitted_on_shuffled_histories,0.04609422184305786,0.28211837474333146
reward_factor_1,factor_1,rewarded,layer_1,False,original_unshuffled,0.011568162784651064,0.6715472300894623
reward_factor_1,factor_1,rewarded,layer_1,False,frozen_original_probe,0.08208655234246713,-0.27595452218858396
reward_factor_1,factor_1,rewarded,layer_1,False,refitted_on_shuffled_histories,0.04133557674170338,0.3574792147341329
reward_factor_1,factor_1,rewarded,layer_2,False,original_unshuffled,0.008771011618973333,0.7509662411570052
reward_factor_1,factor_1,rewarded,layer_2,False,frozen_original_probe,0.07840222618798302,-0.2186853047116597
reward_factor_1,factor_1,rewarded,layer_2,False,refitted_on_shuffled_histories,0.04026492129687567,0.3741214980016079
reward_factor_1,factor_1,rewarded,layer_3,True,original_unshuffled,0.0063535798050851815,0.819603948814001
reward_factor_1,factor_1,rewarded,layer_3,True,frozen_original_probe,0.07515141164577796,-0.1681545978229375
reward_factor_1,factor_1,rewarded,layer_3,True,refitted_on_shuffled_histories,0.03966100527813599,0.38350877707648223
reward_factor_1,factor_2,unrewarded,layer_1,False,original_unshuffled,0.08439708035819118,0.2587013805498831
reward_factor_1,factor_2,unrewarded,layer_1,False,frozen_original_probe,0.07001787304896963,0.23563741059233867
reward_factor_1,factor_2,unrewarded,layer_1,False,refitted_on_shuffled_histories,0.06849783315418223,0.2522311969984189
reward_factor_1,factor_2,unrewarded,layer_2,False,original_unshuffled,0.0862862991070202,0.24210749786576125
reward_factor_1,factor_2,unrewarded,layer_2,False,frozen_original_probe,0.07126964160715227,0.22197225604240822
reward_factor_1,factor_2,unrewarded,layer_2,False,refitted_on_shuffled_histories,0.0698363113801923,0.23761946090664554
reward_factor_1,factor_2,unrewarded,layer_3,True,original_unshuffled,0.08778736975612612,0.22892289959344303
reward_factor_1,factor_2,unrewarded,layer_3,True,frozen_original_probe,0.07237472634254327,0.20990840158531
reward_factor_1,factor_2,unrewarded,layer_3,True,refitted_on_shuffled_histories,0.07104163601891578,0.2244613196805163
