condition,factor,factor_role,layer,is_last_layer,control,n_repeats,std_ddof,mse_mean,mse_std,mse_n_valid,mse_replicates,r_squared_mean,r_squared_std,r_squared_n_valid,r_squared_replicates
token_guess,factor_1,guessed,layer_1,False,dirichlet_labels,5,1,0.05549016249567407,0.0002839354478733074,5,"[0.05512577190889516,0.05566362429553461,0.0555075926217205,0.05584547574451303,0.055308347907707014]",-0.0014855177263217278,0.0006302513413248414,5,"[-0.001683547490814119,-0.0018731822911255414,-0.0021074041657334064,-0.0005052309870472449,-0.0012582236968883276]"
token_guess,factor_1,guessed,layer_1,False,gaussian_covariance_matched,5,1,0.060089731057341486,4.147003099850092e-05,5,"[0.060110582728718234,0.06013659112994681,0.0600367544515907,0.06005654380218917,0.06010818317426251]",-0.004351408295122372,0.0006931381336295336,5,"[-0.004699927170877638,-0.005134636628580269,-0.0034659470414895033,-0.0037967100819140676,-0.004659820552750382]"
token_guess,factor_1,guessed,layer_1,False,ntp_bin_matched_activations,5,1,0.009554544822062335,7.158435142385142e-05,5,"[0.009597565186276335,0.009428087949516058,0.00957098720019559,0.009579653604126418,0.009596430170197269]",0.8403034864892316,0.0011964747203782931,5,"[0.8395844357858349,0.8424171111601301,0.8400286653951232,0.8398838134405608,0.8396034066645089]"
token_guess,factor_1,guessed,layer_1,False,shuffled_training_labels,5,1,0.06014493231016912,0.00032750147201939916,5,"[0.06048945291890677,0.05973713783057005,0.059866575947377515,0.06025171541826724,0.06037977943572401]",-0.005274052731060586,0.005473923062287064,5,"[-0.01103243694220235,0.0015419032180425951,-0.0006215505471038885,-0.007058846290847631,-0.009199333093191653]"
token_guess,factor_1,guessed,layer_1,False,visible_suffix_matched_activations,5,1,0.03713622852320455,9.603752704985752e-06,5,"[0.03713472402893481,0.03714833632997185,0.037121702039842754,0.037139012125265616,0.03713736809200771]",0.37929788069016324,0.00016051898360082555,5,"[0.37932302709890897,0.379095508461762,0.3795406791478244,0.37925135502594454,0.3792788337163764]"
token_guess,factor_1,guessed,layer_2,False,dirichlet_labels,5,1,0.05551983465086533,0.0003102934688991023,5,"[0.055134201371228264,0.05570679883521958,0.055546238159703124,0.05591086468362543,0.05530107020455024]",-0.0020190531031251346,0.0007006122282906645,5,"[-0.0018367182028218298,-0.002650268117202703,-0.0028050921381568283,-0.0016767130947463738,-0.001126473962697938]"
token_guess,factor_1,guessed,layer_2,False,gaussian_covariance_matched,5,1,0.060153482577644954,6.057621814032444e-05,5,"[0.06018382749544953,0.060227553481286715,0.06009066689017901,0.06009109222423804,0.06017427279707149]",-0.0054169635584109255,0.0010124826476652262,5,"[-0.005924154394438164,-0.006654998994370942,-0.0043670499865020584,-0.0043741591023804816,-0.005764455314362982]"
token_guess,factor_1,guessed,layer_2,False,ntp_bin_matched_activations,5,1,0.009060989858285774,4.527129982883121e-05,5,"[0.009121101215748285,0.008996066590777969,0.00904829416055879,0.00906449401993825,0.009074993304405579]",0.8485528597884232,0.0007566732774198637,5,"[0.8475481469122016,0.8496379998615309,0.8487650581402384,0.8484942905515731,0.8483188034765721]"
token_guess,factor_1,guessed,layer_2,False,shuffled_training_labels,5,1,0.06014276307569319,0.0003822132443274594,5,"[0.060517854394330016,0.05960543651505086,0.059886917497520745,0.06031954065501571,0.06038406631654863]",-0.00523779572570413,0.006388386225976185,5,"[-0.011507144705693362,0.0037431845249898954,-0.0009615431577174594,-0.00819249044014958,-0.009270984849950148]"
token_guess,factor_1,guessed,layer_2,False,visible_suffix_matched_activations,5,1,0.03719823053872704,2.860676067760289e-05,5,"[0.03717136465911035,0.037235245290574585,0.037188932440492865,0.03717440960573188,0.03722120069772554]",0.37826156698878005,0.0004781389410096589,5,"[0.37871060850641247,0.3776428952541654,0.3784169772043301,0.3786597146785703,0.37787763930042195]"
