condition,factor,factor_role,layer,is_last_layer,control,repeat,null_seed,fit_seed,null_mse,null_r_squared,sampling
token_guess,factor_1,guessed,layer_1,False,dirichlet_labels,0,1042,42,0.05512577190889516,-0.001683547490814119,
token_guess,factor_1,guessed,layer_1,False,dirichlet_labels,1,1043,42,0.05566362429553461,-0.0018731822911255414,
token_guess,factor_1,guessed,layer_1,False,dirichlet_labels,2,1044,42,0.0555075926217205,-0.0021074041657334064,
token_guess,factor_1,guessed,layer_1,False,dirichlet_labels,3,1045,42,0.05584547574451303,-0.0005052309870472449,
token_guess,factor_1,guessed,layer_1,False,dirichlet_labels,4,1046,42,0.055308347907707014,-0.0012582236968883276,
token_guess,factor_1,guessed,layer_1,False,gaussian_covariance_matched,0,1042,42,0.060110582728718234,-0.004699927170877638,"{""covariance_ddof"":1,""empirical_rank"":64,""fit_source"":""train"",""method"":""gaussian_train_full_covariance"",""n_features"":64,""n_test"":20000,""n_train"":20000,""seed"":1042,""singular_value_cutoff"":1.4005126990556432e-10,""training_mean"":[-0.01166822835576313,-0.010874401244519685,0.05801646270381752,0.045210302321812196,-0.025074619353932213,0.1427787251673639,-0.04136038518584101,-0.08666329121551826,0.12704008174547926,-0.10157963949055411,-0.02891567205600149,0.0066903958718350625,0.15042567031970247,-0.14120781829035842,-0.08437579373146872,0.059947618319664615,0.0002125861537293531,-0.03564550464814674,0.0733728498985729,-0.02652584194384981,0.07156640702285803,0.010423811128101078,-0.1264741276778863,0.039773791471401636,0.006170405566472618,-0.009029051784896911,-0.16585946852955386,0.022281937809990996,-0.09251676088562817,-0.08641199282731978,-0.07994249267217238,-0.039058832526847255,0.06350304316036927,0.005278540945803979,0.06430971021806473,0.06978617282003252,-0.004361190956883365,-0.10165537046821846,0.036413226838623636,0.04457722166849271,-0.08205130775258732,-0.05953454328267835,-0.005365894040884452,-0.042295598240272375,0.11176026250798896,-0.023784176882724568,0.0011634553213429166,-0.0048920465264644004,0.08379240951929678,-0.03290640140273608,-0.08840488824916538,-0.10610410581228788,0.0614610226475852,-0.0741262454222946,0.10160271435906179,0.011283363342640223,0.009148399232071822,0.060678982003382405,-0.01059179043758195,0.052062558573088606,0.03756315015376604,0.03046146569702105,-0.012645005660806782,-0.08377755701460556]}"
token_guess,factor_1,guessed,layer_1,False,gaussian_covariance_matched,1,1043,42,0.06013659112994681,-0.005134636628580269,"{""covariance_ddof"":1,""empirical_rank"":64,""fit_source"":""train"",""method"":""gaussian_train_full_covariance"",""n_features"":64,""n_test"":20000,""n_train"":20000,""seed"":1043,""singular_value_cutoff"":1.4005126990556432e-10,""training_mean"":[-0.01166822835576313,-0.010874401244519685,0.05801646270381752,0.045210302321812196,-0.025074619353932213,0.1427787251673639,-0.04136038518584101,-0.08666329121551826,0.12704008174547926,-0.10157963949055411,-0.02891567205600149,0.0066903958718350625,0.15042567031970247,-0.14120781829035842,-0.08437579373146872,0.059947618319664615,0.0002125861537293531,-0.03564550464814674,0.0733728498985729,-0.02652584194384981,0.07156640702285803,0.010423811128101078,-0.1264741276778863,0.039773791471401636,0.006170405566472618,-0.009029051784896911,-0.16585946852955386,0.022281937809990996,-0.09251676088562817,-0.08641199282731978,-0.07994249267217238,-0.039058832526847255,0.06350304316036927,0.005278540945803979,0.06430971021806473,0.06978617282003252,-0.004361190956883365,-0.10165537046821846,0.036413226838623636,0.04457722166849271,-0.08205130775258732,-0.05953454328267835,-0.005365894040884452,-0.042295598240272375,0.11176026250798896,-0.023784176882724568,0.0011634553213429166,-0.0048920465264644004,0.08379240951929678,-0.03290640140273608,-0.08840488824916538,-0.10610410581228788,0.0614610226475852,-0.0741262454222946,0.10160271435906179,0.011283363342640223,0.009148399232071822,0.060678982003382405,-0.01059179043758195,0.052062558573088606,0.03756315015376604,0.03046146569702105,-0.012645005660806782,-0.08377755701460556]}"
token_guess,factor_1,guessed,layer_1,False,gaussian_covariance_matched,2,1044,42,0.0600367544515907,-0.0034659470414895033,"{""covariance_ddof"":1,""empirical_rank"":64,""fit_source"":""train"",""method"":""gaussian_train_full_covariance"",""n_features"":64,""n_test"":20000,""n_train"":20000,""seed"":1044,""singular_value_cutoff"":1.4005126990556432e-10,""training_mean"":[-0.01166822835576313,-0.010874401244519685,0.05801646270381752,0.045210302321812196,-0.025074619353932213,0.1427787251673639,-0.04136038518584101,-0.08666329121551826,0.12704008174547926,-0.10157963949055411,-0.02891567205600149,0.0066903958718350625,0.15042567031970247,-0.14120781829035842,-0.08437579373146872,0.059947618319664615,0.0002125861537293531,-0.03564550464814674,0.0733728498985729,-0.02652584194384981,0.07156640702285803,0.010423811128101078,-0.1264741276778863,0.039773791471401636,0.006170405566472618,-0.009029051784896911,-0.16585946852955386,0.022281937809990996,-0.09251676088562817,-0.08641199282731978,-0.07994249267217238,-0.039058832526847255,0.06350304316036927,0.005278540945803979,0.06430971021806473,0.06978617282003252,-0.004361190956883365,-0.10165537046821846,0.036413226838623636,0.04457722166849271,-0.08205130775258732,-0.05953454328267835,-0.005365894040884452,-0.042295598240272375,0.11176026250798896,-0.023784176882724568,0.0011634553213429166,-0.0048920465264644004,0.08379240951929678,-0.03290640140273608,-0.08840488824916538,-0.10610410581228788,0.0614610226475852,-0.0741262454222946,0.10160271435906179,0.011283363342640223,0.009148399232071822,0.060678982003382405,-0.01059179043758195,0.052062558573088606,0.03756315015376604,0.03046146569702105,-0.012645005660806782,-0.08377755701460556]}"
token_guess,factor_1,guessed,layer_1,False,gaussian_covariance_matched,3,1045,42,0.06005654380218917,-0.0037967100819140676,"{""covariance_ddof"":1,""empirical_rank"":64,""fit_source"":""train"",""method"":""gaussian_train_full_covariance"",""n_features"":64,""n_test"":20000,""n_train"":20000,""seed"":1045,""singular_value_cutoff"":1.4005126990556432e-10,""training_mean"":[-0.01166822835576313,-0.010874401244519685,0.05801646270381752,0.045210302321812196,-0.025074619353932213,0.1427787251673639,-0.04136038518584101,-0.08666329121551826,0.12704008174547926,-0.10157963949055411,-0.02891567205600149,0.0066903958718350625,0.15042567031970247,-0.14120781829035842,-0.08437579373146872,0.059947618319664615,0.0002125861537293531,-0.03564550464814674,0.0733728498985729,-0.02652584194384981,0.07156640702285803,0.010423811128101078,-0.1264741276778863,0.039773791471401636,0.006170405566472618,-0.009029051784896911,-0.16585946852955386,0.022281937809990996,-0.09251676088562817,-0.08641199282731978,-0.07994249267217238,-0.039058832526847255,0.06350304316036927,0.005278540945803979,0.06430971021806473,0.06978617282003252,-0.004361190956883365,-0.10165537046821846,0.036413226838623636,0.04457722166849271,-0.08205130775258732,-0.05953454328267835,-0.005365894040884452,-0.042295598240272375,0.11176026250798896,-0.023784176882724568,0.0011634553213429166,-0.0048920465264644004,0.08379240951929678,-0.03290640140273608,-0.08840488824916538,-0.10610410581228788,0.0614610226475852,-0.0741262454222946,0.10160271435906179,0.011283363342640223,0.009148399232071822,0.060678982003382405,-0.01059179043758195,0.052062558573088606,0.03756315015376604,0.03046146569702105,-0.012645005660806782,-0.08377755701460556]}"
token_guess,factor_1,guessed,layer_1,False,gaussian_covariance_matched,4,1046,42,0.06010818317426251,-0.004659820552750382,"{""covariance_ddof"":1,""empirical_rank"":64,""fit_source"":""train"",""method"":""gaussian_train_full_covariance"",""n_features"":64,""n_test"":20000,""n_train"":20000,""seed"":1046,""singular_value_cutoff"":1.4005126990556432e-10,""training_mean"":[-0.01166822835576313,-0.010874401244519685,0.05801646270381752,0.045210302321812196,-0.025074619353932213,0.1427787251673639,-0.04136038518584101,-0.08666329121551826,0.12704008174547926,-0.10157963949055411,-0.02891567205600149,0.0066903958718350625,0.15042567031970247,-0.14120781829035842,-0.08437579373146872,0.059947618319664615,0.0002125861537293531,-0.03564550464814674,0.0733728498985729,-0.02652584194384981,0.07156640702285803,0.010423811128101078,-0.1264741276778863,0.039773791471401636,0.006170405566472618,-0.009029051784896911,-0.16585946852955386,0.022281937809990996,-0.09251676088562817,-0.08641199282731978,-0.07994249267217238,-0.039058832526847255,0.06350304316036927,0.005278540945803979,0.06430971021806473,0.06978617282003252,-0.004361190956883365,-0.10165537046821846,0.036413226838623636,0.04457722166849271,-0.08205130775258732,-0.05953454328267835,-0.005365894040884452,-0.042295598240272375,0.11176026250798896,-0.023784176882724568,0.0011634553213429166,-0.0048920465264644004,0.08379240951929678,-0.03290640140273608,-0.08840488824916538,-0.10610410581228788,0.0614610226475852,-0.0741262454222946,0.10160271435906179,0.011283363342640223,0.009148399232071822,0.060678982003382405,-0.01059179043758195,0.052062558573088606,0.03756315015376604,0.03046146569702105,-0.012645005660806782,-0.08377755701460556]}"
