condition,factor,factor_role,suffix_length,baseline_mse,baseline_r_squared
token_guess,factor_1,guessed,0,0.06001645387783665,-0.0031266393181843544
token_guess,factor_1,guessed,1,0.03701866201850611,0.38126291003019364
token_guess,factor_1,guessed,2,0.023411716545103014,0.6086920332487052
token_guess,factor_1,guessed,4,0.011676593497499305,0.8048351537451207
token_guess,factor_1,guessed,8,0.00538397559487433,0.9100111886708477
token_guess,factor_1,guessed,16,0.0019074401317701534,0.968118676038775
token_guess,factor_1,guessed,32,0.00032130090932179,0.9946297143441047
token_guess,factor_2,guessed,0,0.05996000249413313,-0.0003545758719569747
token_guess,factor_2,guessed,1,0.036920224332928034,0.3840341257944824
token_guess,factor_2,guessed,2,0.02316076477421854,0.6135927942156014
token_guess,factor_2,guessed,4,0.011466099019041045,0.80870306631123
token_guess,factor_2,guessed,8,0.005214980528045491,0.9129948396045529
token_guess,factor_2,guessed,16,0.001814825849218504,0.9697219935430443
token_guess,factor_2,guessed,32,0.0003067901217068252,0.9948816062489029
reward_both,factor_1,rewarded,0,0.05266197972845157,-0.0007925444810750193
reward_both,factor_1,rewarded,1,0.03054949691183775,0.41943487683777936
reward_both,factor_1,rewarded,2,0.023006381780119208,0.5627848500995664
reward_both,factor_1,rewarded,4,0.01619493093676231,0.6922302157368174
reward_both,factor_1,rewarded,8,0.008651167785951699,0.8355925040061177
reward_both,factor_1,rewarded,16,0.002763290572544969,0.9474862012879522
reward_both,factor_1,rewarded,32,0.00018484768544113912,0.9964871395566975
reward_both,factor_2,rewarded,0,0.03893852691895498,-0.0007230928451800178
reward_both,factor_2,rewarded,1,0.01715144487106489,0.5592065669597679
reward_both,factor_2,rewarded,2,0.012501426085832197,0.6787124021504931
reward_both,factor_2,rewarded,4,0.008109956897171249,0.7915734931146665
reward_both,factor_2,rewarded,8,0.0047049731919890266,0.879081832390816
reward_both,factor_2,rewarded,16,0.001949413858169677,0.9498999161051167
reward_both,factor_2,rewarded,32,5.303814018295578e-05,0.9986369157777049
reward_factor_1,factor_1,rewarded,0,0.035248644637650324,-0.0008084414397948603
reward_factor_1,factor_1,rewarded,1,0.01661665925470294,0.5282061758235037
reward_factor_1,factor_1,rewarded,2,0.013295791388268417,0.6224949811889114
reward_factor_1,factor_1,rewarded,4,0.009653845388069638,0.7259001003852847
reward_factor_1,factor_1,rewarded,8,0.006095188699676538,0.8269404010987425
reward_factor_1,factor_1,rewarded,16,0.002472554976887673,0.9297971902684167
reward_factor_1,factor_1,rewarded,32,5.935131845369401e-05,0.9983148486663912
reward_factor_1,factor_2,unrewarded,0,0.11385078403452903,-4.131303086740701e-06
reward_factor_1,factor_2,unrewarded,1,0.0855672186639719,0.24842351421896847
reward_factor_1,factor_2,unrewarded,2,0.06381758539809315,0.43946060987576674
reward_factor_1,factor_2,unrewarded,4,0.03498855987095955,0.6926792844158767
reward_factor_1,factor_2,unrewarded,8,0.010828267060035835,0.9048903186155932
reward_factor_1,factor_2,unrewarded,16,0.000927296309365926,0.9918551273215054
reward_factor_1,factor_2,unrewarded,32,8.582480712448348e-06,0.9999246160995547
