condition,source_condition,metric,source_metric,estimator,agent_steps,training_iteration,is_initialization,checkpoint,mean_fraction,mean_percent,n_test,horizon,warmup,n_envs,policy_mode,temperature,sampling_distribution,sample_budgets_exclude_warmup,independent_train_test_rollouts,seed,test_episodes_represented,ci95_status
token_guess,ppo,joint_token_accuracy,policy.token_accuracy,realized_post_warmup_test_mean,0,0,True,initial_checkpoint,0.22,22.0,20000,1024,32,8,learned_stochastic,,process_weighted_rollout,True,True,42,,not_saved
token_guess,ppo,joint_token_accuracy,policy.token_accuracy,realized_post_warmup_test_mean,33112,1,False,iteration_000001_steps_000033112,0.28785,28.785,20000,1024,32,8,learned_stochastic,,process_weighted_rollout,True,True,42,,not_saved
token_guess,ppo,joint_token_accuracy,policy.token_accuracy,realized_post_warmup_test_mean,66254,2,False,iteration_000002_steps_000066254,0.36355,36.355,20000,1024,32,8,learned_stochastic,,process_weighted_rollout,True,True,42,,not_saved
token_guess,ppo,joint_token_accuracy,policy.token_accuracy,realized_post_warmup_test_mean,132518,4,False,iteration_000004_steps_000132518,0.5048,50.480000000000004,20000,1024,32,8,learned_stochastic,,process_weighted_rollout,True,True,42,,not_saved
token_guess,ppo,joint_token_accuracy,policy.token_accuracy,realized_post_warmup_test_mean,265026,8,False,iteration_000008_steps_000265026,0.68935,68.935,20000,1024,32,8,learned_stochastic,,process_weighted_rollout,True,True,42,,not_saved
token_guess,ppo,joint_token_accuracy,policy.token_accuracy,realized_post_warmup_test_mean,529886,16,False,iteration_000016_steps_000529886,0.71325,71.325,20000,1024,32,8,learned_stochastic,,process_weighted_rollout,True,True,42,,not_saved
token_guess,ppo,joint_token_accuracy,policy.token_accuracy,realized_post_warmup_test_mean,1059875,32,False,iteration_000032_steps_001059875,0.71535,71.53500000000001,20000,1024,32,8,learned_stochastic,,process_weighted_rollout,True,True,42,,not_saved
token_guess,ppo,joint_token_accuracy,policy.token_accuracy,realized_post_warmup_test_mean,2119586,64,False,iteration_000064_steps_002119586,0.71575,71.575,20000,1024,32,8,learned_stochastic,,process_weighted_rollout,True,True,42,,not_saved
token_guess,ppo,joint_token_accuracy,policy.token_accuracy,realized_post_warmup_test_mean,2516889,76,False,checkpoint_000000,0.71575,71.575,20000,1024,32,8,learned_stochastic,,process_weighted_rollout,True,True,42,,not_saved
reward_both,reward_both,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,0,0,True,initial_checkpoint,0.335425,33.5425,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_both,reward_both,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,8576,1,False,iteration_000001_steps_000008576,0.3316,33.160000000000004,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_both,reward_both,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,16784,2,False,iteration_000002_steps_000016784,0.33145,33.145,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_both,reward_both,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,33568,4,False,iteration_000004_steps_000033568,0.3322,33.22,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_both,reward_both,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,66998,8,False,iteration_000008_steps_000066998,0.33355,33.355000000000004,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_both,reward_both,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,133958,16,False,iteration_000016_steps_000133958,0.35225,35.225,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_both,reward_both,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,267857,32,False,iteration_000032_steps_000267857,0.451675,45.1675,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_both,reward_both,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,534728,64,False,iteration_000064_steps_000534728,0.54145,54.144999999999996,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_both,reward_both,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,1069418,128,False,iteration_000128_steps_001069418,0.5518,55.17999999999999,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_both,reward_both,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,2138080,256,False,iteration_000256_steps_002138080,0.567725,56.7725,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_both,reward_both,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,4275830,512,False,iteration_000512_steps_004275830,0.59715,59.714999999999996,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_both,reward_both,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,8550414,1024,False,iteration_001024_steps_008550414,0.60365,60.365,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_both,reward_both,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,17100497,2048,False,iteration_002048_steps_017100497,0.6026,60.260000000000005,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_both,reward_both,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,34199786,4096,False,iteration_004096_steps_034199786,0.611325,61.1325,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_both,reward_both,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,50005374,5989,False,checkpoint_000000,0.6195,61.95,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_factor_1,reward_factor_1,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,0,0,True,initial_checkpoint,0.3373,33.73,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_factor_1,reward_factor_1,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,8530,1,False,iteration_000001_steps_000008530,0.33495,33.495000000000005,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_factor_1,reward_factor_1,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,16876,2,False,iteration_000002_steps_000016876,0.33255,33.255,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_factor_1,reward_factor_1,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,33578,4,False,iteration_000004_steps_000033578,0.33625,33.625,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_factor_1,reward_factor_1,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,67230,8,False,iteration_000008_steps_000067230,0.33825,33.825,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_factor_1,reward_factor_1,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,133899,16,False,iteration_000016_steps_000133899,0.3763,37.63,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_factor_1,reward_factor_1,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,267673,32,False,iteration_000032_steps_000267673,0.43015,43.015,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_factor_1,reward_factor_1,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,535144,64,False,iteration_000064_steps_000535144,0.5213,52.129999999999995,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_factor_1,reward_factor_1,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,1069467,128,False,iteration_000128_steps_001069467,0.61895,61.895,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_factor_1,reward_factor_1,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,2137953,256,False,iteration_000256_steps_002137953,0.6061,60.61,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_factor_1,reward_factor_1,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,4274825,512,False,iteration_000512_steps_004274825,0.60275,60.275,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_factor_1,reward_factor_1,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,8547012,1024,False,iteration_001024_steps_008547012,0.62475,62.475,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_factor_1,reward_factor_1,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,17092474,2048,False,iteration_002048_steps_017092474,0.64395,64.395,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
reward_factor_1,reward_factor_1,mean_rewarded_factor_arrival_occupancy,policy.mean_reward,realized_post_warmup_test_mean,30001584,3595,False,checkpoint_000000,0.62915,62.915,20000,1024,32,8,learned_stochastic,1.5,process_weighted_rollout,True,True,42,29,not_saved
